icao,lon
GMMN,-7.59
GMMP,-6.5959
GMMW,-3.0282
GMMX,-8.0358
GMMZ,-6.9094
GMTA,-3.8395
GMTN,-5.32
GMTT,-5.9215
GOBD,-17.0728
GOGG,-16.2833
GOGS,-16.748
GOOK,-16.0513
GOOY,-17.4792
GOSM,-13.3228
GOSS,-16.461
GOTB,-12.4683
GOTK,-12.2203
GOTT,-13.6531
GQNO,-15.9697
GQPA,-13.0437
GQPP,-17.0302
GQPZ,-12.4822
GUCY,-13.612
GVAC,-22.9494
GVBA,-22.8889
GVMA,-23.2137
GVNP,-23.4847
GVSN,-24.2841
GVSV,-25.0553
HAAB,38.7993
HAAM,37.5905
HAAX,38.7728
HABC,36.5602
HABD,37.3216
HADR,41.855
HAGM,34.5631
HAGN,37.434
HAGO,43.5786
HAHM,39.0059
HAJJ,42.9118
HAJM,36.8166
HAKD,44.2413
HALA,38.3965
HAMK,39.5335
HASO,34.5863
HBBA,29.3185
HBBE,29.9113
HCMF,49.1392
HCMH,44.0835
HCMI,44.9367
HCMK,42.4592
HCMM,45.3047
HDAM,43.1595
HEAL,28.4616
HEAR,33.828
HEAT,31.0128
HEAX,29.6964
HEBL,31.6117
HEBR,35.4603
HECA,31.3967
HECP,31.84
HECW,30.9155
HEGN,33.7967
HEGR,34.1531
HELX,32.7064
HEMA,34.5924
HEMM,27.2223
HEPS,32.2406
HESC,34.0644
HESG,31.743
HESH,34.3947
HESN,32.8204
HESX,30.8957
HETB,34.7758
HHAS,38.9107
HHMS,39.3701
HHSB,42.645
HJJJ,31.6011
HKAM,37.2529
HKEL,35.2389
HKJK,36.9282
HKKI,34.7289
HKKT,34.9586
HKLK,34.3482
HKLO,35.6087
HKLU,40.9129
HKML,40.1017
HKMO,39.5942
HKMS,35.0083
HKNK,36.1592
HKNL,37.0413
HKNW,36.8148
HKNY,37.0252
HKRE,36.8623
HKWJ,40.0916
HKWY,41.2972
HLGD,16.5971
HLGT,10.1426
HLKF,23.314
HLLB,20.2695
HLLM,13.2879
HLLQ,21.9549
HLLS,14.4662
HLMB,19.5764
HLTD,9.7021
HRYG,29.2589
HRYR,30.1395
HRZA,28.9079
HSDN,30.4301
HSFS,25.3246
HSKA,36.3288
HSMN,31.8433
HSNN,24.9562
HSOB,30.2327
HSPN,37.2341
